requested_dev_sms,requested_zc_sms,pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
14,2,strided,64,8,14,2,105.456729,20.151505,91.295632,6.402452,97.698084,125.608234,77.779999,86.571651,31.771583
14,2,strided,64,16,14,2,186.788128,25.434805,168.999090,6.597079,175.596169,212.222933,82.741373,90.476355,25.937211
14,2,strided,64,32,14,2,239.939295,24.735233,234.790864,10.130827,244.921691,264.674528,92.536933,97.854277,40.957071
14,2,scatter,1,1,14,2,11.686163,4.647943,10.297926,3.742348,14.040274,16.334106,85.956795,88.120676,80.516222
14,2,scatter,1,2,14,2,17.300950,5.580857,12.688480,3.262445,15.950925,22.881807,69.710077,73.339787,58.457784
14,2,scatter,1,4,14,2,25.152946,7.297995,17.360529,2.806921,20.167451,32.450942,62.147505,69.019864,38.461540
14,2,scatter,1,8,14,2,34.479022,9.149239,21.896425,3.428870,25.325296,43.628261,58.047914,63.506515,37.477108
14,2,scatter,1,16,14,2,38.085718,10.274315,27.167996,4.500172,31.668168,48.360033,65.484174,71.333816,43.800214
14,2,scatter,1,32,14,2,47.740665,11.249126,38.948666,6.153037,45.101703,58.989791,76.456794,81.583835,54.697915
14,2,scatter,2,1,14,2,10.638961,4.568242,9.454126,3.500855,12.954980,15.207203,85.189763,88.863239,76.634618
14,2,scatter,2,2,14,2,12.006229,5.312150,10.544811,2.900336,13.445147,17.318380,77.635134,87.827831,54.598160
14,2,scatter,2,4,14,2,14.151587,6.935394,12.575266,3.433001,16.008268,21.086980,75.915410,88.861175,49.499735
14,2,scatter,2,8,14,2,16.571465,8.837705,14.709012,4.362596,19.071607,25.409169,75.057973,88.761086,49.363445
14,2,scatter,2,16,14,2,21.857172,10.039888,19.504398,5.206110,24.710508,31.897060,77.469548,89.235692,51.854261
14,2,scatter,2,32,14,2,30.862256,10.870240,27.346903,5.734094,33.080997,41.732496,79.269156,88.609541,52.750390
14,2,scatter,4,1,14,2,10.382763,4.423177,9.050059,3.365135,12.415193,14.805940,83.852790,87.164262,76.079591
14,2,scatter,4,2,14,2,11.498048,5.001221,10.284997,2.793997,13.078994,16.499269,79.270142,89.449937,55.866304
14,2,scatter,4,4,14,2,13.458465,6.812651,12.068411,3.228772,15.297183,20.271116,75.462953,89.671523,47.393770
14,2,scatter,4,8,14,2,15.788479,8.699709,13.934380,4.144700,18.079080,24.488188,73.827757,88.256635,47.641823
14,2,scatter,4,16,14,2,20.577866,9.913409,18.460683,5.298514,23.759197,30.491275,77.921297,89.711357,53.447955
14,2,scatter,4,32,14,2,25.528172,10.707649,22.376543,5.569711,27.946253,36.235821,77.123278,87.654309,52.016183
14,2,scatter,8,1,14,2,10.260842,4.452552,8.820161,3.299899,12.120060,14.713395,82.374332,85.959424,74.112538
14,2,scatter,8,2,14,2,11.844034,4.932897,10.542478,2.789478,13.331956,16.776930,79.466005,89.010877,56.548481
14,2,scatter,8,4,14,2,13.283707,6.756071,11.909546,3.167712,15.077258,20.039778,75.236652,89.655291,46.886894
14,2,scatter,8,8,14,2,15.722902,8.651760,13.958030,4.105719,18.063749,24.374662,74.108714,88.775150,47.455302
14,2,scatter,8,16,14,2,22.267605,9.874108,19.531374,4.988550,24.519924,32.141713,76.286923,87.712057,50.521522
