pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,16,16,2,2,2,8,8,140.550363,124.089994,139.565894,123.380031,245.982539,246.294899,246.557316,264.640357,92.949746,93.067778,93.166938,99.299561,99.427865,4.359578,0.998065
uniform,16,32,1,1,1,8,8,157.280013,144.248164,156.896122,143.571711,286.139249,286.510547,286.760299,301.528178,94.896355,95.019493,95.102322,99.755918,99.531049,3.747652,0.997846
uniform,32,1,16,16,16,8,8,25.103755,25.242864,22.071450,22.133472,44.078372,44.131301,44.153484,50.346620,87.549814,87.654943,87.699004,87.920911,87.682095,24.330618,0.999736
uniform,32,2,8,9,8,8,8,43.322651,38.157613,40.150200,34.853782,73.962216,74.023029,74.061933,81.480265,90.773166,90.847801,90.895548,92.677154,91.341619,15.412105,0.999443
uniform,32,4,4,4,4,8,8,72.319950,64.427395,69.542286,61.538857,122.866520,122.954300,123.031856,136.747345,89.849291,89.913482,89.970198,96.159201,95.516600,8.732853,0.999012
uniform,32,8,2,2,2,8,8,108.219160,98.264080,105.815224,95.927908,191.330472,191.566449,191.720747,206.483240,92.661502,92.775786,92.850513,97.778641,97.622557,5.605062,0.998485
uniform,32,16,1,1,1,8,8,140.806334,124.303302,139.995625,123.725781,246.638869,246.998289,247.351521,265.109636,93.032782,93.168356,93.301596,99.424239,99.535394,4.347163,0.998102
uniform,32,32,1,1,1,8,8,157.588771,144.481084,157.341963,143.879530,287.241440,287.443213,287.688429,302.069854,95.091065,95.157861,95.239040,99.843385,99.583645,7.470984,0.998907
uniform,64,1,8,8,8,8,8,25.155284,25.224344,19.352603,19.380837,38.666839,38.695915,38.725120,50.379628,76.750942,76.808654,76.866625,76.932555,76.833860,27.748196,0.999767
uniform,64,2,4,5,4,8,8,43.387293,38.186709,35.994331,31.296630,64.695887,64.766150,64.806734,81.574002,79.309444,79.395578,79.445329,82.960536,81.956867,18.651094,0.999647
